Feature,Importance
ph_category_neutral,1.0
Sulfate,0.6227842333411318
Chloramines,0.49689574526645164
ph,0.4538596345910394
Hardness,0.44172280140006676
Solids,0.40248186523112595
Turbidity_norm,0.241886821037279
Trihalomethanes,0.22365378471435368
Organic_carbon,0.22329687109217386
Solids_log,0.21324224528735844
Conductivity,0.2025302866380866
ph_category_alkaline,0.19453880814183963
Turbidity,0.19444992330636052
Trihalomethanes_log,0.19233497904095903
Cond_Hardness_ratio,0.1681163210518631
ph_category_nan,0.0
