Feature,RandomForest,DecisionTree,XGBoost
ph,0.0906848607296719,0.0860920603175161,0.0439898
Hardness,0.07740354171462456,0.08378983977287047,0.043332435
Solids,0.06941826932181193,0.07634627619926389,0.04293606
Chloramines,0.08447575640814074,0.09425552574540642,0.041820653
Sulfate,0.09502825249987151,0.11813515390042421,0.04971661
Conductivity,0.06234958816369937,0.038417714034166765,0.03559356
Organic_carbon,0.06815165132897892,0.04235690118620562,0.03510343
Trihalomethanes,0.05516306917597709,0.04242460367998773,0.037854027
Turbidity,0.05769061333868963,0.03688496012894397,0.036648475
Solids_log,0.0674560846561775,0.04044965192831951,0.03923023
Trihalomethanes_log,0.054090156844590696,0.03648377902494648,0.040175755
Cond_Hardness_ratio,0.06725083605413852,0.03188977240815337,0.039766047
Turbidity_norm,0.058943939668137685,0.04588320528993081,0.0
ph_category_alkaline,0.030883704925750273,0.03690182058101805,0.17044139
ph_category_neutral,0.061009675169739805,0.18968873580284643,0.34339154
ph_category_nan,0.0,0.0,0.0
